Group,class,class2,augmen2,Latitude,Longitude,DENSITY,LnDENSITY,npp,biodiv,pathos,npp22,biodiv2,DivDiff
Nunggubuyu,1,0,1,-13.76,135.98,0.23,-0.638272164,1578.642659,0.221959173,-0.326093642,2492112.645,492.66,0.058040827
Yintjingga,1,0,1,-14.01,143.5,0.31,-0.508638306,1788.828239,0.275671058,-0.327370432,3199906.469,759.95,0.004328942
Yir-yoront,1,0,2,-15,142.17,0.08,-1.096910013,1648.590275,0.201889196,-0.344978064,2717849.895,407.59,0.078110804
Tiwi,1,0,2,-11.59,130.87,0.375,-0.425968732,2016.112494,0.218872599,-0.203900271,4064709.588,479.05,0.061127401
Kuku-yalanji,1,0,2,-15.92,145.32,0.5,-0.301029996,2108.202073,0.355976696,-0.325896718,4444515.981,1267.19,0.075976696
Groote-eylandt,1,0,1,-14,136.62,0.229,-0.640164518,1698.782599,0.163679238,-0.335663312,2885862.319,267.91,0.116320762
Walmbaria,1,0,1,-14.34,144.22,0.58,-0.236572006,1680.511332,0.269418403,-0.323569435,2824118.337,725.86,0.010581597
Worora,1,0,1,-15.32,124.72,0.11,-0.958607315,1733.729091,0.236772934,-0.059990702,3005816.561,560.61,0.043227066
Lungga,1,0,2,-16.91,127.83,0.045,-1.346787486,1160.958911,0.202524642,-0.189379646,1347825.593,410.16,0.077475358
Mamu,1,0,1,-17.64,145.84,0.45,-0.346787486,2438.989741,0.321599329,-0.333424076,5948670.957,1034.26,0.041599329
Kariera,1,0,1,-20.88,118.27,0.095,-1.022276395,553.2410073,0.177803693,-0.038544004,306075.6122,316.14,0.102196307
Warunggu,1,0,2,-18.41,145.61,0.1628,-0.788345599,1596.461864,0.308103486,-0.344202613,2548690.483,949.28,0.028103486
Djaru,1,0,2,-19.16,130,0.0398,-1.400116928,779.3048252,0.153283751,-0.2989028,607316.0106,234.96,0.126716249
Walbiri,1,0,1,-20,130.57,0.0116,-1.935542011,725.5817881,0.143592409,-0.332632607,526468.9312,206.19,0.136407591
Ngatjan,1,0,2,-17.36,145.56,0.598,-0.223298816,2256.548473,0.321868924,-0.33537439,5092011.011,1036,0.041868924
Mardudjara,1,0,2,-22.79,125.06,0.0075,-2.124938737,397.3860935,0.114560559,-0.236962991,157915.7073,131.24,0.165439441
Ildawongga,1,0,2,-22.93,127.18,0.0045,-2.346787486,423.1794638,0.112654358,-0.298812644,179080.8586,126.91,0.167345642
Pintubi,1,0,2,-22.86,129.44,0.015,-1.823908741,505.6696692,0.126801476,-0.359354538,255701.8143,160.79,0.153198524
Jinibarra,1,0,1,-27.25,152.87,0.16,-0.795880017,1721.054016,0.349989702,-0.359082179,2962026.926,1224.93,0.069989702
Karuwali,1,0,2,-24.41,141.64,0.02,-1.698970004,463.9182074,0.152476039,-0.435617897,215220.1032,232.49,0.127523961
Alyawara,1,0,2,-22.27,135.17,0.0121,-1.91721463,540.2092418,0.146856557,-0.450357673,291826.0249,215.67,0.133143443
Ngatatjara,1,0,2,-25.32,127.27,0.004,-2.397940009,381.786307,0.122113986,-0.332385302,145760.7842,149.12,0.157886014
Badjalang,1,0,2,-29.59,152.78,0.134,-0.872895202,1603.897691,0.329958521,-0.393243533,2572487.803,1088.73,0.049958521
Pitjandjara,1,0,2,-26,130,0.006,-2.22184875,575.8806867,0.14513141,-0.411276638,331638.5653,210.63,0.13486859
Dieri,1,0,2,-28.54,139.09,0.0193,-1.714442691,298.7887361,0.138276998,-0.469308097,89274.70882,191.21,0.141723002
Arenda (southern),1,0,2,-26.09,135.52,0.011,-1.958607315,259.0398227,0.138146277,-0.483671048,67101.62974,190.84,0.141853723
Jankundjara,1,0,2,-27,131.95,0.01,-2,423.1794638,0.131715912,-0.449828808,179080.8586,173.49,0.148284088
Arenda (northern),1,0,2,-23.7,133.76,0.0266,-1.575118363,523.8218854,0.176107161,-0.481642389,274389.3676,310.14,0.103892839
Ualaria,1,0,2,-29.3,147.25,0.09,-1.045757491,752.6038292,0.1911424,-0.425031711,566412.5237,365.35,0.0888576
Nakako,1,0,2,-27.31,128.19,0.0087,-2.060480747,376.5656273,0.11457835,-0.373541767,141801.6717,131.28,0.16542165
Ooldea,1,0,2,-30.38,131.81,0.0047,-2.327902142,345.0222117,0.109734427,-0.436115141,119040.3266,120.42,0.170265573
Barkindji,1,0,2,-32.4,142.25,0.1543,-0.811634074,462.2336899,0.179047127,-0.464970437,213659.9841,320.58,0.100952873
